Classifier,MetaHeuristics Algorithm,Accuracy,Precision,Recall,F1-score,AUC,Specificity
Logistic Regression,GA,0.8761904761904762,0.803921568627451,0.9318181818181818,0.8631578947368421,0.9062499999999999,0.8360655737704918
SVM,GA,0.8714285714285714,0.801980198019802,0.9204545454545454,0.8571428571428571,0.8821255588673621,0.8360655737704918
KNN,GA,0.8714285714285714,0.7961165048543689,0.9318181818181818,0.8586387434554974,0.9017324888226528,0.8278688524590164
Random Forest,GA,0.8761904761904762,0.803921568627451,0.9318181818181818,0.8631578947368421,0.9294429955290612,0.8360655737704918
AdaBoost,GA,0.8761904761904762,0.803921568627451,0.9318181818181818,0.8631578947368421,0.8952123695976155,0.8360655737704918
Logistic Regression,PSO,0.8761904761904762,0.803921568627451,0.9318181818181818,0.8631578947368421,0.8951192250372579,0.8360655737704918
SVM,PSO,0.8761904761904762,0.803921568627451,0.9318181818181818,0.8631578947368421,0.8911140089418779,0.8360655737704918
KNN,PSO,0.8714285714285714,0.7961165048543689,0.9318181818181818,0.8586387434554974,0.893628912071535,0.8278688524590164
Random Forest,PSO,0.8761904761904762,0.803921568627451,0.9318181818181818,0.8631578947368421,0.8985655737704917,0.8360655737704918
AdaBoost,PSO,0.8761904761904762,0.803921568627451,0.9318181818181818,0.8631578947368421,0.8857116244411326,0.8360655737704918
Logistic Regression,SA,0.8761904761904762,0.803921568627451,0.9318181818181818,0.8631578947368421,0.9003353204172876,0.8360655737704918
SVM,SA,0.8714285714285714,0.801980198019802,0.9204545454545454,0.8571428571428571,0.8770491803278687,0.8360655737704918
KNN,SA,0.8380952380952381,0.78125,0.8522727272727273,0.8152173913043478,0.8877142324888225,0.8278688524590164
Random Forest,SA,0.8761904761904762,0.81,0.9204545454545454,0.8617021276595744,0.9172876304023846,0.8442622950819673
AdaBoost,SA,0.8761904761904762,0.803921568627451,0.9318181818181818,0.8631578947368421,0.8897634128166915,0.8360655737704918
Logistic Regression,DE,0.8761904761904762,0.803921568627451,0.9318181818181818,0.8631578947368421,0.9089046199701938,0.8360655737704918
SVM,DE,0.8761904761904762,0.803921568627451,0.9318181818181818,0.8631578947368421,0.8942809239940387,0.8360655737704918
KNN,DE,0.8714285714285714,0.8210526315789474,0.8863636363636364,0.8524590163934426,0.9105346497764532,0.860655737704918
Random Forest,DE,0.8952380952380953,0.8367346938775511,0.9318181818181818,0.8817204301075269,0.921199701937407,0.8688524590163934
AdaBoost,DE,0.8761904761904762,0.803921568627451,0.9318181818181818,0.8631578947368421,0.9009407600596125,0.8360655737704918
Logistic Regression,FPA,0.6857142857142857,0.72,0.4090909090909091,0.5217391304347826,0.7413375558867361,0.8852459016393442
SVM,FPA,0.638095238095238,0.5697674418604651,0.5568181818181818,0.5632183908045977,0.6346870342771982,0.6967213114754098
KNN,FPA,0.580952380952381,0.5,0.7045454545454546,0.5849056603773585,0.6378073770491803,0.4918032786885246
Random Forest,FPA,0.5857142857142857,0.5037037037037037,0.7727272727272727,0.6098654708520179,0.6600223546944859,0.45081967213114754
AdaBoost,FPA,0.6714285714285714,0.7111111111111111,0.36363636363636365,0.48120300751879697,0.7174459761549925,0.8934426229508197
